"King County, WA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
King County,county,All Homes,"$667,300",0.9%,2.7%,4.5%,8.8%,6.0%,7.0%,0.9%,-10.8%,-7.5%,$546,0.7%,2.6%,4.4%,2.9%,0.3%,-0.0%,-0.0%,"$625,000",-0.5%,-2.2%,-0.6%,---,---,---,---,$365,0.2%,-0.4%,3.5%,"$2,500",0.0%,0.0%,0.2%,$1.81,0.4%,4.6%,6.2%,---,---,---,---,"$2,515",-0.3%,-1.2%,2.4%
Adams,neighborhood,All Homes,"$723,500",0.5%,1.2%,-2.4%,8.3%,6.6%,---,---,---,---,$587,0.5%,1.2%,-2.3%,---,---,---,---,"$650,000",0.9%,1.6%,-5.1%,"$643,100",11.2%,4.6%,-14.1%,$535,0.5%,0.4%,-4.4%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,575",-0.0%,-1.5%,0.5%
Adelaide,neighborhood,All Homes,"$486,900",1.1%,3.5%,7.6%,6.8%,4.3%,---,---,---,---,$225,0.9%,3.2%,7.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Adelaide,neighborhood,All Homes,"$1,350,100",1.2%,3.7%,5.0%,9.4%,6.3%,---,---,---,---,"$5,096",1.2%,3.7%,5.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Admiral,neighborhood,All Homes,"$834,900",0.6%,2.1%,3.6%,7.5%,5.6%,---,---,---,---,"$1,101",0.6%,2.1%,3.7%,---,---,---,---,"$799,000",-1.3%,0.6%,6.5%,---,---,---,---,$479,0.2%,-2.8%,8.6%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,840",0.2%,-1.5%,3.1%
Alder Crossing,neighborhood,All Homes,"$562,100",1.7%,4.2%,1.6%,8.4%,---,---,---,---,---,$321,1.6%,4.2%,1.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Alderbrook,neighborhood,All Homes,"$440,200",1.0%,3.4%,9.3%,8.4%,4.7%,---,---,---,---,$225,0.9%,3.2%,9.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,289",-0.7%,-0.6%,5.6%
Alki,neighborhood,All Homes,"$880,000",0.6%,2.0%,4.2%,7.3%,5.0%,---,---,---,---,$547,0.7%,2.1%,4.2%,---,---,---,---,---,---,---,---,---,---,---,---,$540,-1.2%,-11.1%,3.4%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,842",0.0%,-1.8%,1.8%
Arbor Heights,neighborhood,All Homes,"$624,000",0.3%,0.9%,-0.1%,8.7%,5.8%,---,---,---,---,$392,0.3%,0.8%,-0.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,350",1.2%,-5.2%,-2.0%
Aspenwoods,neighborhood,All Homes,"$713,200",0.5%,2.1%,4.0%,7.5%,5.2%,---,---,---,---,$276,0.4%,2.2%,3.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Aster Park,neighborhood,All Homes,"$768,800",0.7%,2.4%,1.7%,7.5%,5.9%,---,---,---,---,$263,0.8%,2.3%,1.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Atlantic,neighborhood,All Homes,"$714,200",0.5%,1.7%,2.0%,9.5%,6.8%,---,---,---,---,$469,0.6%,1.7%,2.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Ballinger,neighborhood,All Homes,"$498,300",0.4%,1.2%,2.7%,10.3%,5.7%,---,---,---,---,$413,0.5%,1.2%,2.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Beacon Hill,neighborhood,All Homes,"$641,100",1.2%,4.1%,6.5%,10.5%,6.9%,---,---,---,---,$366,1.1%,4.0%,6.4%,---,---,---,---,"$525,000",-4.5%,-12.4%,-10.3%,---,---,---,---,$382,2.6%,-0.6%,-7.7%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,453",-0.1%,---,0.4%
Bear Creek,neighborhood,All Homes,"$578,200",0.9%,3.0%,0.6%,9.6%,6.0%,---,---,---,---,$468,1.1%,3.1%,0.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,396",1.3%,2.6%,5.2%
Belltown,neighborhood,All Homes,"$572,000",0.1%,0.5%,-4.1%,8.6%,5.2%,5.4%,0.3%,-15.5%,-21.9%,$741,0.1%,0.4%,-4.1%,---,---,---,---,"$613,800",2.3%,-5.6%,3.6%,"$552,000",-1.1%,-6.3%,-2.5%,$746,3.7%,-0.3%,0.0%,"$2,300",-4.4%,2.1%,4.6%,$3.25,4.8%,-1.7%,9.1%,---,---,---,---,"$2,302",2.4%,1.8%,2.8%
Beverly Park,neighborhood,All Homes,"$449,700",1.0%,3.9%,9.9%,11.5%,6.0%,---,---,---,---,$320,0.9%,3.9%,10.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Bitter Lake,neighborhood,All Homes,"$607,800",0.9%,2.6%,2.6%,9.9%,6.5%,---,---,---,---,$603,1.0%,2.6%,2.7%,---,---,---,---,"$510,000",0.2%,0.0%,1.0%,---,---,---,---,$414,4.0%,6.9%,0.1%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,266",-0.8%,-0.5%,1.9%
Boulevard Park,neighborhood,All Homes,"$432,800",1.0%,3.3%,8.4%,11.5%,6.4%,---,---,---,---,$301,1.0%,3.4%,8.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,032",0.0%,-1.9%,-2.3%
Briarcrest,neighborhood,All Homes,"$559,200",0.8%,2.4%,3.6%,9.9%,6.0%,---,---,---,---,$467,0.9%,2.6%,3.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bridle Trails,neighborhood,All Homes,"$1,282,300",0.9%,2.5%,4.1%,8.9%,7.1%,---,---,---,---,$507,0.8%,2.6%,4.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Bridle Trails,neighborhood,All Homes,"$1,043,100",0.3%,1.0%,1.8%,9.6%,6.7%,---,---,---,---,$524,0.4%,1.0%,1.7%,---,---,---,---,---,---,---,---,---,---,---,---,$409,0.5%,-3.1%,-0.1%,---,---,---,---,---,---,---,---,0,---,---,-3.5%,"$2,848",0.5%,1.1%,6.0%
Brighton,neighborhood,All Homes,"$577,500",0.8%,2.8%,4.1%,11.3%,6.2%,---,---,---,---,$376,0.8%,2.7%,3.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,380",0.2%,-2.8%,0.3%
Broadmoor,neighborhood,All Homes,"$2,976,900",0.8%,2.1%,3.5%,6.3%,5.2%,---,---,---,---,$776,0.8%,2.1%,3.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Broadview,neighborhood,All Homes,"$801,500",0.5%,1.6%,1.1%,7.5%,5.7%,---,---,---,---,$397,0.5%,1.5%,1.0%,---,---,---,---,"$737,000",1.7%,-1.6%,-1.3%,---,---,---,---,$360,-8.7%,-9.1%,-6.6%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,708",-0.3%,-1.8%,1.3%
