Region Name,Region Type,Type,zillow_Current,zillow_Month Over Month,zillow_Quarter Over Quarter,zillow_Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year
King County,county,All Homes,"$667,300",0.9%,2.7%,4.5%,8.8%,6.0%,$546,0.7%,2.6%,4.4%
Adams,neighborhood,All Homes,"$723,500",0.5%,1.2%,-2.4%,8.3%,6.6%,$587,0.5%,1.2%,-2.3%
Adelaide,neighborhood,All Homes,"$486,900",1.1%,3.5%,7.6%,6.8%,4.3%,$225,0.9%,3.2%,7.7%
Adelaide,neighborhood,All Homes,"$1,350,100",1.2%,3.7%,5.0%,9.4%,6.3%,"$5,096",1.2%,3.7%,5.0%
Admiral,neighborhood,All Homes,"$834,900",0.6%,2.1%,3.6%,7.5%,5.6%,"$1,101",0.6%,2.1%,3.7%
Alder Crossing,neighborhood,All Homes,"$562,100",1.7%,4.2%,1.6%,8.4%,---,$321,1.6%,4.2%,1.6%
Alderbrook,neighborhood,All Homes,"$440,200",1.0%,3.4%,9.3%,8.4%,4.7%,$225,0.9%,3.2%,9.2%
Alki,neighborhood,All Homes,"$880,000",0.6%,2.0%,4.2%,7.3%,5.0%,$547,0.7%,2.1%,4.2%
Arbor Heights,neighborhood,All Homes,"$624,000",0.3%,0.9%,-0.1%,8.7%,5.8%,$392,0.3%,0.8%,-0.3%
Aspenwoods,neighborhood,All Homes,"$713,200",0.5%,2.1%,4.0%,7.5%,5.2%,$276,0.4%,2.2%,3.8%
Aster Park,neighborhood,All Homes,"$768,800",0.7%,2.4%,1.7%,7.5%,5.9%,$263,0.8%,2.3%,1.9%
Atlantic,neighborhood,All Homes,"$714,200",0.5%,1.7%,2.0%,9.5%,6.8%,$469,0.6%,1.7%,2.2%
Ballinger,neighborhood,All Homes,"$498,300",0.4%,1.2%,2.7%,10.3%,5.7%,$413,0.5%,1.2%,2.7%
Beacon Hill,neighborhood,All Homes,"$641,100",1.2%,4.1%,6.5%,10.5%,6.9%,$366,1.1%,4.0%,6.4%
Bear Creek,neighborhood,All Homes,"$578,200",0.9%,3.0%,0.6%,9.6%,6.0%,$468,1.1%,3.1%,0.6%
Belltown,neighborhood,All Homes,"$572,000",0.1%,0.5%,-4.1%,8.6%,5.2%,$741,0.1%,0.4%,-4.1%
Beverly Park,neighborhood,All Homes,"$449,700",1.0%,3.9%,9.9%,11.5%,6.0%,$320,0.9%,3.9%,10.0%
Bitter Lake,neighborhood,All Homes,"$607,800",0.9%,2.6%,2.6%,9.9%,6.5%,$603,1.0%,2.6%,2.7%
Boulevard Park,neighborhood,All Homes,"$432,800",1.0%,3.3%,8.4%,11.5%,6.4%,$301,1.0%,3.4%,8.7%
Briarcrest,neighborhood,All Homes,"$559,200",0.8%,2.4%,3.6%,9.9%,6.0%,$467,0.9%,2.6%,3.8%
Bridle Trails,neighborhood,All Homes,"$1,282,300",0.9%,2.5%,4.1%,8.9%,7.1%,$507,0.8%,2.6%,4.1%
Bridle Trails,neighborhood,All Homes,"$1,043,100",0.3%,1.0%,1.8%,9.6%,6.7%,$524,0.4%,1.0%,1.7%
Brighton,neighborhood,All Homes,"$577,500",0.8%,2.8%,4.1%,11.3%,6.2%,$376,0.8%,2.7%,3.9%
Broadmoor,neighborhood,All Homes,"$2,976,900",0.8%,2.1%,3.5%,6.3%,5.2%,$776,0.8%,2.1%,3.5%
Broadview,neighborhood,All Homes,"$801,500",0.5%,1.6%,1.1%,7.5%,5.7%,$397,0.5%,1.5%,1.0%
Brookfield,neighborhood,All Homes,"$639,300",0.9%,2.4%,3.0%,6.5%,5.3%,$269,1.1%,2.7%,3.1%
Bryant,neighborhood,All Homes,"$912,800",0.7%,1.4%,0.9%,7.9%,6.6%,$540,0.7%,1.5%,0.9%
Buenna,neighborhood,All Homes,"$512,000",1.0%,3.1%,8.4%,7.7%,4.2%,$241,0.8%,3.0%,8.1%
Campus Highlands,neighborhood,All Homes,"$525,000",1.1%,3.8%,9.6%,7.6%,4.3%,$202,1.0%,3.6%,9.2%
Capitol Hill,neighborhood,All Homes,"$710,600",0.4%,1.0%,-0.9%,7.8%,5.7%,$715,0.4%,1.0%,-1.0%
Cascade,neighborhood,All Homes,"$419,800",1.3%,3.8%,9.4%,10.5%,6.2%,$314,1.3%,4.0%,9.4%
Cedar Park,neighborhood,All Homes,"$715,000",0.7%,2.2%,1.9%,8.7%,6.1%,$422,0.7%,2.2%,1.7%
Central Des Moines,neighborhood,All Homes,"$455,500",1.0%,3.2%,8.0%,10.0%,5.5%,$258,0.8%,3.2%,7.9%
Chinquapin Ridge,neighborhood,All Homes,"$556,400",1.1%,3.7%,6.9%,8.1%,5.1%,$233,0.9%,3.6%,6.9%
Clover Creek,neighborhood,All Homes,"$961,500",0.6%,1.4%,1.4%,7.1%,3.4%,$319,0.6%,1.3%,1.3%
Columbia City,neighborhood,All Homes,"$695,100",0.5%,1.6%,2.5%,10.2%,6.8%,$463,0.7%,1.8%,2.7%
Cougar Mountain,neighborhood,All Homes,"$1,284,000",0.5%,2.1%,2.9%,7.8%,6.3%,$423,0.5%,1.9%,2.9%
Crossroads,neighborhood,All Homes,"$766,600",1.0%,3.0%,4.4%,10.5%,7.3%,$528,1.0%,3.1%,4.6%
