Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized
King County,county,All Homes,"$667,300",0.9%,2.7%,4.5%,8.8%,6.0%
98001,zipcode,All Homes,"$432,800",1.2%,3.9%,9.4%,9.1%,4.9%
98002,zipcode,All Homes,"$358,500",1.3%,4.1%,11.5%,10.3%,5.1%
98003,zipcode,All Homes,"$392,800",1.2%,3.7%,10.1%,9.7%,5.3%
98004,zipcode,All Homes,"$1,613,200",0.8%,2.5%,4.9%,9.8%,7.1%
98005,zipcode,All Homes,"$1,118,500",0.1%,0.3%,-1.0%,8.9%,7.1%
98006,zipcode,All Homes,"$1,074,800",1.0%,3.2%,4.5%,8.6%,6.9%
98007,zipcode,All Homes,"$759,200",0.8%,2.5%,3.2%,10.4%,7.4%
98008,zipcode,All Homes,"$887,700",1.0%,3.0%,4.4%,9.5%,7.2%
98010,zipcode,All Homes,"$486,600",1.1%,3.2%,7.8%,7.1%,4.5%
98011,zipcode,All Homes,"$698,200",0.9%,2.8%,4.4%,9.0%,6.5%
98014,zipcode,All Homes,"$690,600",0.8%,3.0%,7.5%,8.2%,4.8%
98019,zipcode,All Homes,"$661,400",0.8%,2.7%,6.8%,8.1%,5.4%
98022,zipcode,All Homes,"$453,700",1.3%,4.1%,10.6%,8.1%,4.1%
98023,zipcode,All Homes,"$430,000",1.2%,3.9%,9.8%,8.8%,4.9%
98024,zipcode,All Homes,"$763,000",1.0%,2.8%,5.2%,8.1%,5.1%
98027,zipcode,All Homes,"$778,300",0.9%,2.8%,4.8%,8.0%,5.7%
98028,zipcode,All Homes,"$716,200",0.8%,2.5%,3.2%,8.5%,6.2%
98029,zipcode,All Homes,"$774,500",0.7%,2.2%,2.8%,8.1%,6.3%
98030,zipcode,All Homes,"$435,600",1.1%,3.6%,8.6%,9.3%,5.4%
98031,zipcode,All Homes,"$461,500",0.9%,3.1%,8.2%,9.0%,5.4%
98032,zipcode,All Homes,"$395,400",1.3%,4.0%,9.0%,9.7%,5.0%
98033,zipcode,All Homes,"$1,080,500",1.0%,2.9%,5.0%,9.6%,7.2%
98034,zipcode,All Homes,"$701,900",1.0%,3.1%,4.6%,9.9%,7.0%
98038,zipcode,All Homes,"$523,900",1.0%,3.1%,7.5%,7.7%,4.9%
