price,is_cust_build,grade,view,waterfront,bedrooms,bathrooms,floors,sqft_living15,sqft_above,has_basement,years_since_renovated,condition
221900.0,0,7,0.0,0.0,3,1.0,1.0,1340,1180,0,0.0,3
538000.0,0,7,0.0,0.0,3,2.25,2.0,1690,2170,1,29.0,3
180000.0,0,6,0.0,0.0,2,1.0,1.0,2720,770,0,0.0,3
604000.0,0,7,0.0,0.0,4,3.0,1.0,1360,1050,1,0.0,5
510000.0,0,8,0.0,0.0,3,2.0,1.0,1800,1680,0,0.0,3
257500.0,0,7,0.0,0.0,3,2.25,2.0,2238,1715,0,0.0,3
291850.0,0,7,0.0,0.0,3,1.5,1.0,1650,1060,0,0.0,3
229500.0,0,7,0.0,0.0,3,1.0,1.0,1780,1050,1,0.0,3
323000.0,0,7,0.0,0.0,3,2.5,2.0,2390,1890,0,0.0,3
662500.0,0,8,0.0,0.0,3,2.5,1.0,2210,1860,1,0.0,3
468000.0,0,7,0.0,0.0,2,1.0,1.0,1330,860,1,0.0,4
310000.0,0,7,0.0,0.0,3,1.0,1.5,1780,1430,0,0.0,4
400000.0,0,7,0.0,0.0,3,1.75,1.0,1370,1370,0,0.0,4
530000.0,0,7,0.0,0.0,5,2.0,1.5,1360,1810,0,0.0,3
650000.0,0,9,3.0,0.0,4,3.0,2.0,2140,1980,1,0.0,3
395000.0,0,7,0.0,0.0,3,2.0,2.0,1890,1890,0,0.0,3
485000.0,0,7,0.0,0.0,4,1.0,1.5,1610,1600,0,0.0,4
189000.0,0,7,0.0,0.0,2,1.0,1.0,1060,1200,0,0.0,4
230000.0,0,7,0.0,0.0,3,1.0,1.0,1280,1250,0,0.0,4
385000.0,0,7,0.0,0.0,4,1.75,1.0,1400,860,1,0.0,4
285000.0,0,8,0.0,0.0,5,2.5,2.0,2240,2270,0,0.0,3
252700.0,0,7,0.0,0.0,2,1.5,1.0,1220,1070,0,0.0,3
329000.0,0,8,0.0,0.0,3,2.25,2.0,2200,2450,0,0.0,4
233000.0,0,6,0.0,0.0,3,2.0,1.5,1030,1710,0,0.0,5
937000.0,0,8,0.0,0.0,3,1.75,2.0,1760,1750,1,0.0,3
667000.0,0,8,0.0,0.0,3,1.0,1.5,1860,1400,0,0.0,5
438000.0,0,7,0.0,0.0,3,1.75,1.0,1520,790,1,0.0,3
719000.0,0,8,0.0,0.0,4,2.5,2.0,2630,2570,0,0.0,3
580500.0,0,8,0.0,0.0,3,2.5,2.0,2580,2320,0,0.0,3
280000.0,0,7,0.0,0.0,2,1.5,3.0,1390,1190,0,0.0,3
687500.0,0,7,0.0,0.0,4,1.75,1.5,1460,1510,1,0.0,4
535000.0,0,8,0.0,0.0,3,1.0,1.5,1570,1090,0,0.0,4
322500.0,0,7,0.0,0.0,4,2.75,1.0,2020,1280,1,0.0,3
696000.0,0,8,0.0,0.0,3,2.5,1.5,1590,1510,1,18.0,3
640000.0,0,8,0.0,0.0,4,2.0,2.0,1730,2360,0,0.0,4
240000.0,0,7,0.0,0.0,4,1.0,1.0,1290,890,1,0.0,2
605000.0,0,8,0.0,0.0,4,2.5,2.0,2620,2620,0,0.0,3
625000.0,0,9,0.0,0.0,4,2.5,2.0,2470,2570,0,0.0,3
775000.0,0,8,0.0,0.0,4,2.25,1.0,2410,2600,1,0.0,3
861990.0,0,9,0.0,0.0,5,2.75,2.0,3625,3595,0,0.0,3
685000.0,0,7,0.0,0.0,3,1.0,2.0,1580,1570,0,0.0,3
309000.0,0,6,0.0,0.0,3,1.0,1.0,1340,920,1,0.0,4
488000.0,0,8,0.0,0.0,3,2.5,2.0,3050,3160,0,0.0,3
210490.0,0,6,0.0,0.0,3,1.0,1.0,1228,990,0,0.0,3
785000.0,0,9,0.0,0.0,4,2.5,2.0,2680,2290,0,0.0,4
450000.0,0,7,0.0,0.0,3,1.75,1.0,970,1250,0,0.0,4
1350000.0,0,9,2.0,1.0,3,2.5,1.0,2680,2165,1,0.0,5
228000.0,0,7,0.0,0.0,3,1.0,1.0,1190,1190,0,0.0,3
345000.0,0,8,0.0,0.0,5,2.5,1.0,1990,1640,1,0.0,4
600000.0,0,7,0.0,0.0,3,1.75,1.0,1410,1000,1,0.0,4
585000.0,0,7,0.0,0.0,2,1.75,1.0,1480,990,1,0.0,3
920000.0,0,8,0.0,0.0,5,2.25,1.5,2730,2130,1,0.0,3
885000.0,0,9,0.0,0.0,4,2.5,2.0,1950,2830,0,0.0,3
292500.0,0,7,0.0,0.0,4,2.5,2.0,2250,2250,0,0.0,3
301000.0,0,8,0.0,0.0,3,2.5,2.0,2690,2420,0,0.0,3
951000.0,0,8,4.0,0.0,5,3.25,2.0,2960,3250,0,0.0,4
430000.0,0,8,0.0,0.0,4,3.0,2.0,2270,1850,0,0.0,3
650000.0,0,8,3.0,0.0,3,2.25,1.0,2570,1590,1,0.0,4
289000.0,0,7,0.0,0.0,3,1.75,1.0,1290,1260,0,0.0,3
505000.0,0,8,0.0,0.0,3,1.75,2.0,2500,2519,0,0.0,5
549000.0,0,8,0.0,0.0,3,1.75,3.0,1580,1540,0,0.0,3
425000.0,0,7,0.0,0.0,3,2.25,1.0,1440,1110,1,0.0,3
317625.0,0,7,0.0,0.0,3,2.75,1.5,1440,1770,1,0.0,5
975000.0,0,10,0.0,0.0,4,2.5,2.0,2750,2720,0,0.0,3
287000.0,0,7,0.0,0.0,4,2.5,2.0,2221,2240,0,0.0,3
204000.0,0,7,0.0,0.0,3,1.0,1.0,1010,1000,0,0.0,4
1330000.0,0,8,0.0,0.0,5,2.25,1.0,3390,1600,1,0.0,3
325000.0,0,7,0.0,0.0,3,2.0,1.0,1640,1260,0,0.0,4
571000.0,0,7,0.0,0.0,4,2.0,1.5,1510,2250,1,0.0,5
360000.0,0,8,0.0,0.0,4,2.5,2.0,2420,2380,0,0.0,3
349000.0,0,7,0.0,0.0,3,1.75,1.0,1940,1090,1,0.0,5
832500.0,0,10,0.0,0.0,4,4.0,2.0,3240,2390,1,0.0,4
380000.0,0,7,0.0,0.0,4,1.75,1.0,1680,880,1,0.0,3
480000.0,0,7,0.0,0.0,3,1.0,1.0,890,1040,0,0.0,3
410000.0,0,7,0.0,0.0,3,1.0,1.0,1130,910,1,0.0,4
720000.0,0,10,0.0,0.0,4,2.5,2.0,3350,3450,0,0.0,3
390000.0,0,8,0.0,0.0,3,2.5,2.0,2350,2350,0,0.0,3
360000.0,0,7,0.0,0.0,4,2.5,2.0,1870,1900,0,0.0,3
355000.0,0,7,0.0,0.0,2,1.0,1.0,1720,1010,1,0.0,3
356000.0,0,8,0.0,0.0,3,1.5,1.0,1850,1680,0,0.0,3
315000.0,0,6,0.0,0.0,3,1.0,1.0,1570,960,0,0.0,3
940000.0,0,9,0.0,0.0,3,1.5,2.0,2020,1900,1,0.0,3
305000.0,0,7,0.0,0.0,5,2.25,1.5,1590,2660,0,0.0,5
461000.0,0,9,0.0,0.0,3,3.25,2.0,1900,1980,1,0.0,3
