price,is_cust_build,grade,view,waterfront,lat,long,zipcode,sqft_living,bedrooms,bathrooms,floors,sqft_living15,sqft_above,date,has_basement,years_since_renovated
221900.0,0,7,0.0,0.0,47.5112,-122.257,98178,1180,3,1.0,1.0,1340,1180,10/13/2014,0,0.0
538000.0,0,7,0.0,0.0,47.721,-122.319,98125,2570,3,2.25,2.0,1690,2170,12/9/2014,1,29.0
180000.0,0,6,0.0,0.0,47.7379,-122.233,98028,770,2,1.0,1.0,2720,770,2/25/2015,0,0.0
604000.0,0,7,0.0,0.0,47.5208,-122.393,98136,1960,4,3.0,1.0,1360,1050,12/9/2014,1,0.0
510000.0,0,8,0.0,0.0,47.6168,-122.045,98074,1680,3,2.0,1.0,1800,1680,2/18/2015,0,0.0
1230000.0,0,11,0.0,0.0,47.6561,-122.005,98053,5420,4,4.5,1.0,4760,3890,5/12/2014,1,0.0
257500.0,0,7,0.0,0.0,47.3097,-122.327,98003,1715,3,2.25,2.0,2238,1715,6/27/2014,0,0.0
291850.0,0,7,0.0,0.0,47.4095,-122.315,98198,1060,3,1.5,1.0,1650,1060,1/15/2015,0,0.0
229500.0,0,7,0.0,0.0,47.5123,-122.337,98146,1780,3,1.0,1.0,1780,1050,4/15/2015,1,0.0
323000.0,0,7,0.0,0.0,47.3684,-122.031,98038,1890,3,2.5,2.0,2390,1890,3/12/2015,0,0.0
662500.0,0,8,0.0,0.0,47.6007,-122.145,98007,3560,3,2.5,1.0,2210,1860,4/3/2015,1,0.0
468000.0,0,7,0.0,0.0,47.69,-122.292,98115,1160,2,1.0,1.0,1330,860,5/27/2014,1,0.0
310000.0,0,7,0.0,0.0,47.7558,-122.229,98028,1430,3,1.0,1.5,1780,1430,5/28/2014,0,0.0
400000.0,0,7,0.0,0.0,47.6127,-122.045,98074,1370,3,1.75,1.0,1370,1370,10/7/2014,0,0.0
530000.0,0,7,0.0,0.0,47.67,-122.394,98107,1810,5,2.0,1.5,1360,1810,3/12/2015,0,0.0
650000.0,0,9,3.0,0.0,47.5714,-122.375,98126,2950,4,3.0,2.0,2140,1980,1/24/2015,1,0.0
395000.0,0,7,0.0,0.0,47.7277,-121.962,98019,1890,3,2.0,2.0,1890,1890,7/31/2014,0,0.0
485000.0,0,7,0.0,0.0,47.6648,-122.343,98103,1600,4,1.0,1.5,1610,1600,5/29/2014,0,0.0
189000.0,0,7,0.0,0.0,47.3089,-122.21,98002,1200,2,1.0,1.0,1060,1200,12/5/2014,0,0.0
230000.0,0,7,0.0,0.0,47.3343,-122.306,98003,1250,3,1.0,1.0,1280,1250,4/24/2015,0,0.0
385000.0,0,7,0.0,0.0,47.7025,-122.341,98133,1620,4,1.75,1.0,1400,860,5/14/2014,1,0.0
2000000.0,0,9,4.0,0.0,47.5316,-122.233,98040,3050,3,2.75,1.0,4110,2330,8/26/2014,1,0.0
